mm_dd_hh,ghi,dhi,dni,temp
01-10 12:00,74.0,74.0,0.0,1.1
01-10 13:00,116.0,88.0,108.2,1.5
01-10 14:00,80.0,62.0,94.5,1.4
01-10 15:00,32.0,31.0,11.2,1.2
01-10 16:00,1.0,1.0,0.0,1.1
01-10 17:00,0.0,0.0,0.0,1.0
01-10 18:00,0.0,0.0,0.0,0.6
01-10 19:00,0.0,0.0,0.0,0.4
01-10 20:00,0.0,0.0,0.0,0.2
01-10 21:00,0.0,0.0,0.0,0.2
01-10 22:00,0.0,0.0,0.0,0.2
01-10 23:00,0.0,0.0,0.0,0.1
01-11 00:00,0.0,0.0,0.0,0.2
01-11 01:00,0.0,0.0,0.0,-0.1
01-11 02:00,0.0,0.0,0.0,0.2
01-11 03:00,0.0,0.0,0.0,0.0
01-11 04:00,0.0,0.0,0.0,-0.5
01-11 05:00,0.0,0.0,0.0,-0.9
01-11 06:00,0.0,0.0,0.0,-1.2
01-11 07:00,0.0,0.0,0.0,-1.4
01-11 08:00,8.0,8.0,0.0,-1.4
01-11 09:00,42.0,41.0,6.6,-1.3
01-11 10:00,56.0,56.0,0.0,-1.6
01-11 11:00,62.0,62.0,0.0,-1.5
01-11 12:00,56.0,56.0,0.0,-1.2
01-11 13:00,110.0,90.0,76.4,0.0
01-11 14:00,110.0,86.0,124.0,0.2
01-11 15:00,27.0,27.0,0.0,0.2
01-11 16:00,1.0,1.0,0.0,0.2
01-11 17:00,0.0,0.0,0.0,0.2
01-11 18:00,0.0,0.0,0.0,0.1
01-11 19:00,0.0,0.0,0.0,-0.4
01-11 20:00,0.0,0.0,0.0,-0.8
01-11 21:00,0.0,0.0,0.0,-0.9
01-11 22:00,0.0,0.0,0.0,-0.9
01-11 23:00,0.0,0.0,0.0,-1.0
01-12 00:00,0.0,0.0,0.0,-1.1
01-12 01:00,0.0,0.0,0.0,-0.9
01-12 02:00,0.0,0.0,0.0,-0.9
01-12 03:00,0.0,0.0,0.0,-0.9
01-12 04:00,0.0,0.0,0.0,-0.9
01-12 05:00,0.0,0.0,0.0,-1.0
01-12 06:00,0.0,0.0,0.0,-1.1
01-12 07:00,0.0,0.0,0.0,-1.1
01-12 08:00,9.0,9.0,0.0,-1.1
01-12 09:00,39.0,39.0,0.0,-1.1
01-12 10:00,79.0,78.0,4.2,-1.0
01-12 11:00,91.0,90.0,3.5,-1.0
01-12 12:00,113.0,104.0,30.5,-0.8
01-12 13:00,84.0,82.0,7.6,-0.9
01-12 14:00,50.0,50.0,0.0,-0.9
01-12 15:00,21.0,21.0,0.0,-0.8
01-12 16:00,1.0,1.0,0.0,-0.4
01-12 17:00,0.0,0.0,0.0,-0.6
01-12 18:00,0.0,0.0,0.0,-0.7
01-12 19:00,0.0,0.0,0.0,-0.9
01-12 20:00,0.0,0.0,0.0,-1.1
01-12 21:00,0.0,0.0,0.0,-1.2
01-12 22:00,0.0,0.0,0.0,-1.4
01-12 23:00,0.0,0.0,0.0,-1.6
01-13 00:00,0.0,0.0,0.0,-2.5
01-13 01:00,0.0,0.0,0.0,-1.5
01-13 02:00,0.0,0.0,0.0,-2.0
01-13 03:00,0.0,0.0,0.0,-2.0
01-13 04:00,0.0,0.0,0.0,-2.2
01-13 05:00,0.0,0.0,0.0,-2.6
01-13 06:00,0.0,0.0,0.0,-3.0
01-13 07:00,0.0,0.0,0.0,-3.7
01-13 08:00,27.0,12.0,227.4,-3.5
01-13 09:00,122.0,37.0,542.7,-2.2
01-13 10:00,209.0,51.0,656.5,-1.0
01-13 11:00,262.0,54.0,719.8,-0.4
01-13 12:00,271.0,62.0,700.7,-0.1
01-13 13:00,218.0,85.0,496.3,-0.1
01-13 14:00,157.0,59.0,489.9,-0.5
01-13 15:00,58.0,37.0,211.7,-1.6
01-13 16:00,2.0,2.0,0.0,-2.3
01-13 17:00,0.0,0.0,0.0,-3.0
01-13 18:00,0.0,0.0,0.0,-3.6
01-13 19:00,0.0,0.0,0.0,-4.4
01-13 20:00,0.0,0.0,0.0,-5.0
01-13 21:00,0.0,0.0,0.0,-5.8
01-13 22:00,0.0,0.0,0.0,-6.3
01-13 23:00,0.0,0.0,0.0,-6.5
01-14 00:00,0.0,0.0,0.0,-6.6
01-14 01:00,0.0,0.0,0.0,-5.5
01-14 02:00,0.0,0.0,0.0,-5.6
01-14 03:00,0.0,0.0,0.0,-5.5
01-14 04:00,0.0,0.0,0.0,-6.1
01-14 05:00,0.0,0.0,0.0,-6.3
01-14 06:00,0.0,0.0,0.0,-5.5
01-14 07:00,0.0,0.0,0.0,-6.1
01-14 08:00,28.0,13.0,223.6,-4.6
01-14 09:00,120.0,45.0,472.3,-1.9
01-14 10:00,220.0,51.0,695.0,0.9
01-14 11:00,231.0,106.0,428.4,3.1
01-14 12:00,237.0,116.0,401.5,4.6
01-14 13:00,157.0,120.0,136.4,4.7
01-14 14:00,133.0,81.0,255.6,4.0
01-14 15:00,24.0,24.0,0.0,3.3
01-14 16:00,1.0,1.0,0.0,3.2
01-14 17:00,0.0,0.0,0.0,3.3
01-14 18:00,0.0,0.0,0.0,3.2
01-14 19:00,0.0,0.0,0.0,3.1
01-14 20:00,0.0,0.0,0.0,2.8
01-14 21:00,0.0,0.0,0.0,1.6
01-14 22:00,0.0,0.0,0.0,1.3
01-14 23:00,0.0,0.0,0.0,1.4
01-15 00:00,0.0,0.0,0.0,1.4
01-15 01:00,0.0,0.0,0.0,1.2
01-15 02:00,0.0,0.0,0.0,1.3
01-15 03:00,0.0,0.0,0.0,1.4
01-15 04:00,0.0,0.0,0.0,1.3
01-15 05:00,0.0,0.0,0.0,1.5
01-15 06:00,0.0,0.0,0.0,1.5
01-15 07:00,0.0,0.0,0.0,1.6
01-15 08:00,5.0,5.0,0.0,1.9
01-15 09:00,22.0,22.0,0.0,2.0
01-15 10:00,39.0,39.0,0.0,2.3
01-15 11:00,60.0,60.0,0.0,2.8
01-15 12:00,59.0,54.0,16.4,3.0
01-15 13:00,37.0,36.0,3.6,2.8
01-15 14:00,25.0,25.0,0.0,2.8
01-15 15:00,14.0,14.0,0.0,2.7
01-15 16:00,1.0,1.0,0.0,2.5
01-15 17:00,0.0,0.0,0.0,2.5
01-15 18:00,0.0,0.0,0.0,2.5
01-15 19:00,0.0,0.0,0.0,2.3
01-15 20:00,0.0,0.0,0.0,2.5
01-15 21:00,0.0,0.0,0.0,2.4
01-15 22:00,0.0,0.0,0.0,2.3
01-15 23:00,0.0,0.0,0.0,2.1
01-16 00:00,0.0,0.0,0.0,2.0
01-16 01:00,0.0,0.0,0.0,2.2
01-16 02:00,0.0,0.0,0.0,1.6
01-16 03:00,0.0,0.0,0.0,1.2
01-16 04:00,0.0,0.0,0.0,1.1
01-16 05:00,0.0,0.0,0.0,1.0
01-16 06:00,0.0,0.0,0.0,1.0
01-16 07:00,0.0,0.0,0.0,1.0
01-16 08:00,14.0,14.0,0.0,1.6
01-16 09:00,57.0,54.0,18.3,2.3
01-16 10:00,120.0,91.0,116.7,2.7
01-16 11:00,170.0,112.0,194.8,3.2
01-16 12:00,148.0,110.0,123.5,3.7
01-16 13:00,153.0,101.0,187.0,3.3
01-16 14:00,113.0,81.0,152.0,3.3
